epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,812.066,1.40954,2.50277,1.53038,0.56779,0.43455,0.47572,0.29768,1.31615,2.28783,1.44237,0.0072028,0.0072028,0.0072028
44,830.458,1.44839,2.56782,1.55043,0.56884,0.42504,0.48613,0.30179,1.37303,2.31543,1.47821,0.0071362,0.0071362,0.0071362
45,848.62,1.41287,2.54123,1.53389,0.57433,0.4323,0.48301,0.29476,1.39845,2.28779,1.49232,0.0070696,0.0070696,0.0070696
46,867.282,1.42307,2.51653,1.53374,0.57274,0.42807,0.48738,0.31121,1.30341,2.23422,1.42977,0.007003,0.007003,0.007003
47,886.088,1.39987,2.49213,1.51735,0.55008,0.4366,0.4795,0.31095,1.2669,2.31457,1.39913,0.0069364,0.0069364,0.0069364
48,905.018,1.40989,2.48656,1.52638,0.58314,0.43322,0.49876,0.31902,1.27599,2.23981,1.40966,0.0068698,0.0068698,0.0068698
49,923.726,1.42717,2.47518,1.53173,0.57849,0.42721,0.4882,0.30577,1.32327,2.23344,1.43436,0.0068032,0.0068032,0.0068032
50,942.587,1.37865,2.5048,1.51517,0.58517,0.44124,0.49816,0.31722,1.29324,2.21584,1.43213,0.0067366,0.0067366,0.0067366
51,961.598,1.37115,2.45617,1.51438,0.56972,0.43691,0.492,0.31514,1.28356,2.28569,1.41138,0.00667,0.00667,0.00667
52,980.093,1.40678,2.45608,1.50808,0.57773,0.42129,0.49045,0.3121,1.32419,2.22692,1.43742,0.0066034,0.0066034,0.0066034
53,998.113,1.41189,2.41753,1.51891,0.56631,0.4299,0.48813,0.30985,1.32962,2.23227,1.42736,0.0065368,0.0065368,0.0065368
54,1016.15,1.4092,2.42235,1.52376,0.55889,0.43115,0.49286,0.32052,1.27077,2.2209,1.4126,0.0064702,0.0064702,0.0064702
55,1034.39,1.40853,2.48131,1.5249,0.58667,0.43328,0.50094,0.32003,1.32756,2.21916,1.4358,0.0064036,0.0064036,0.0064036
56,1052.53,1.37429,2.40964,1.50272,0.5653,0.42989,0.49597,0.31505,1.29495,2.20532,1.41409,0.006337,0.006337,0.006337
57,1070.58,1.3844,2.41447,1.4966,0.57708,0.43748,0.4979,0.31887,1.28556,2.21747,1.40912,0.0062704,0.0062704,0.0062704
58,1088.65,1.41226,2.45598,1.52617,0.57161,0.43166,0.49817,0.32412,1.26392,2.17016,1.39375,0.0062038,0.0062038,0.0062038
59,1106.86,1.41984,2.42263,1.51251,0.59238,0.4152,0.48921,0.31604,1.28236,2.16535,1.39817,0.0061372,0.0061372,0.0061372
60,1124.92,1.36324,2.4205,1.50243,0.55097,0.44808,0.49689,0.31152,1.31967,2.20863,1.42098,0.0060706,0.0060706,0.0060706
61,1143.28,1.37354,2.3674,1.49967,0.58399,0.44715,0.50891,0.32329,1.30383,2.20999,1.41373,0.006004,0.006004,0.006004
62,1161.24,1.36164,2.4458,1.50031,0.57094,0.44362,0.49837,0.32374,1.26144,2.15326,1.38798,0.0059374,0.0059374,0.0059374
