epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1110.76,2.08697,4.9489,1.64499,0.40787,0.35101,0.32772,0.17841,1.9697,4.50325,1.56654,0.00826884,0.00826884,0.00826884
43,1138.12,2.05987,4.94341,1.64718,0.45011,0.37018,0.37208,0.20519,1.97062,4.35087,1.55911,0.00818893,0.00818893,0.00818893
44,1165.57,2.10471,4.91057,1.64379,0.46947,0.38089,0.3925,0.21386,2.00145,4.12942,1.56239,0.00810763,0.00810763,0.00810763
45,1192.48,2.05645,4.8357,1.61931,0.5013,0.37246,0.39106,0.21389,2.03351,4.08996,1.59679,0.00802497,0.00802497,0.00802497
46,1219.46,2.07791,4.77633,1.61591,0.48259,0.37613,0.40079,0.23368,1.87539,3.85401,1.50263,0.00794099,0.00794099,0.00794099
47,1246.81,2.02723,4.76842,1.60424,0.43385,0.38972,0.38892,0.2202,1.96409,3.90485,1.55696,0.00785571,0.00785571,0.00785571
48,1273.93,2.01397,4.72279,1.6157,0.45484,0.36907,0.37161,0.20366,2.01631,4.19624,1.59111,0.00776919,0.00776919,0.00776919
49,1301.34,2.10646,4.8517,1.63279,0.47296,0.38695,0.41299,0.23985,1.92051,3.9137,1.52429,0.00768145,0.00768145,0.00768145
50,1327.05,1.98879,4.64064,1.58718,0.4838,0.41289,0.41776,0.2429,1.89289,3.95058,1.51956,0.00759254,0.00759254,0.00759254
51,1352.91,2.04853,4.69744,1.59053,0.518,0.38519,0.42923,0.25133,1.86531,3.94995,1.48536,0.0075025,0.0075025,0.0075025
52,1379.22,2.02111,4.65584,1.59785,0.42096,0.35413,0.33669,0.19241,1.91487,4.4198,1.53137,0.00741136,0.00741136,0.00741136
53,1405.2,2.01774,4.71795,1.60581,0.46189,0.39928,0.39537,0.22587,1.97124,4.14862,1.5507,0.00731916,0.00731916,0.00731916
54,1431.19,2.06016,4.54295,1.60483,0.47589,0.36086,0.38609,0.23107,1.8371,4.03011,1.48261,0.00722595,0.00722595,0.00722595
55,1457.37,2.03069,4.65708,1.61076,0.48014,0.39591,0.40557,0.2434,1.82128,3.95179,1.4687,0.00713177,0.00713177,0.00713177
56,1483.28,2.02642,4.58124,1.60104,0.4668,0.38148,0.40106,0.22918,1.94392,4.20018,1.5389,0.00703665,0.00703665,0.00703665
57,1509.36,2.04476,4.56357,1.6014,0.50744,0.3862,0.41771,0.24667,1.87997,3.87161,1.50593,0.00694064,0.00694064,0.00694064
