epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5484,2.64475,9.86839,2.02665,5e-05,0.00121,2e-05,0,nan,nan,nan,0.0823103,0.00196552,0.00196552
2,59.6913,2.53252,7.74646,1.9739,0.02072,0.02307,0.0083,0.0025,4.18543,19.873,5.07883,0.0643101,0.00396527,0.00396527
3,86.0969,2.57171,7.72001,1.97881,0.01811,0.03169,0.01104,0.0044,5.05232,inf,6.18255,0.0463089,0.00596405,0.00596405
4,113.488,2.53441,7.54264,1.96312,0.39842,0.04589,0.02586,0.0095,3.45891,inf,3.14648,0.0283059,0.0079611,0.0079611
5,141.21,2.59572,7.21704,1.93912,0.06255,0.11358,0.02789,0.01059,3.03679,inf,2.48039,0.0103005,0.00995569,0.00995569
6,167.725,2.50215,7.27648,1.91345,0.04876,0.12079,0.04365,0.01477,3.07913,10.4975,2.56937,0.0099846,0.0099846,0.0099846
7,194.032,2.43674,6.91472,1.883,0.12141,0.16101,0.09093,0.03666,2.60374,8.73487,2.06385,0.00997783,0.00997783,0.00997783
8,220.545,2.44172,6.76107,1.86672,0.14601,0.22339,0.12809,0.05465,2.4831,8.42927,1.95622,0.00996983,0.00996983,0.00996983
9,247.416,2.392,6.58402,1.83736,0.19201,0.24218,0.17312,0.07772,2.36956,6.61725,1.90965,0.00996061,0.00996061,0.00996061
10,273.818,2.39075,6.51128,1.83452,0.22907,0.24948,0.18671,0.08581,2.40318,6.48675,1.88397,0.00995017,0.00995017,0.00995017
11,300.419,2.3625,6.40214,1.80198,0.19139,0.18811,0.1414,0.05991,2.60531,7.24996,2.11526,0.0099385,0.0099385,0.0099385
12,327.047,2.36034,6.25868,1.80919,0.18535,0.19309,0.13054,0.05322,2.5034,8.07069,1.96622,0.00992562,0.00992562,0.00992562
13,353.292,2.3337,6.23564,1.80006,0.2841,0.27825,0.22776,0.10978,2.35029,6.40423,1.84133,0.00991152,0.00991152,0.00991152
14,379.691,2.29528,5.95413,1.75052,0.26212,0.25591,0.20505,0.09719,2.2915,5.99282,1.81611,0.00989622,0.00989622,0.00989622
15,405.937,2.2403,5.97894,1.74858,0.32461,0.22114,0.20498,0.09928,2.26167,6.21498,1.77071,0.0098797,0.0098797,0.0098797
