epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,672.366,1.98545,4.21029,1.528,0.52627,0.41995,0.4672,0.28054,1.865,3.56292,1.42128,0.00826884,0.00826884,0.00826884
43,688.149,1.95083,4.19077,1.52302,0.5514,0.39857,0.45599,0.2682,1.88995,3.64916,1.4506,0.00818893,0.00818893,0.00818893
44,703.896,2.01621,4.22235,1.53925,0.56086,0.43427,0.48787,0.28467,1.95973,3.47154,1.4632,0.00810763,0.00810763,0.00810763
45,719.553,1.95837,4.13167,1.51084,0.5356,0.42818,0.4706,0.28341,1.83984,3.48659,1.40876,0.00802497,0.00802497,0.00802497
46,734.897,1.97368,4.11642,1.5096,0.52793,0.42798,0.4588,0.28118,1.81887,3.63892,1.42168,0.00794099,0.00794099,0.00794099
47,750.65,1.94164,4.076,1.50078,0.57027,0.43449,0.49928,0.30376,1.83512,3.4029,1.4231,0.00785571,0.00785571,0.00785571
48,766.659,1.93013,4.05494,1.51015,0.57726,0.43905,0.49901,0.29359,1.92504,3.42384,1.44943,0.00776919,0.00776919,0.00776919
49,782.336,2.02374,4.18904,1.53039,0.55969,0.43267,0.49065,0.2957,1.84264,3.48476,1.39505,0.00768145,0.00768145,0.00768145
50,798.053,1.90477,3.95918,1.48809,0.56381,0.43121,0.49525,0.30167,1.84196,3.44425,1.42187,0.00759254,0.00759254,0.00759254
51,813.77,1.97498,4.0372,1.48974,0.55672,0.41605,0.47679,0.29561,1.79615,3.51057,1.39177,0.0075025,0.0075025,0.0075025
52,829.691,1.92392,3.99642,1.48694,0.56729,0.4362,0.50348,0.30879,1.80675,3.35439,1.38498,0.00741136,0.00741136,0.00741136
53,845.225,1.93936,4.04707,1.50462,0.58387,0.42778,0.49597,0.3048,1.84947,3.45463,1.42368,0.00731916,0.00731916,0.00731916
54,860.869,1.97901,3.99887,1.50441,0.55537,0.43422,0.48704,0.30504,1.75515,3.41653,1.36851,0.00722595,0.00722595,0.00722595
55,876.811,1.95057,4.05153,1.50671,0.59723,0.42006,0.50047,0.30163,1.86878,3.43584,1.42279,0.00713177,0.00713177,0.00713177
56,892.705,1.9492,3.97848,1.4984,0.56043,0.42614,0.48263,0.30725,1.71428,3.39915,1.34744,0.00703665,0.00703665,0.00703665
57,908.37,1.96584,3.97526,1.49439,0.5821,0.4523,0.50704,0.31616,1.77218,3.28564,1.37738,0.00694064,0.00694064,0.00694064
58,923.63,1.94612,3.9194,1.48985,0.59937,0.45365,0.51739,0.31284,1.86797,3.26655,1.42305,0.00684378,0.00684378,0.00684378
59,939.097,1.9197,3.84251,1.47952,0.57222,0.43517,0.5024,0.3132,1.74641,3.30263,1.37654,0.00674612,0.00674612,0.00674612
60,954.767,1.87318,3.87153,1.47395,0.58254,0.43326,0.49373,0.31307,1.74749,3.35808,1.34904,0.00664769,0.00664769,0.00664769
61,970.116,1.93161,3.89766,1.48838,0.56352,0.46319,0.51143,0.30694,1.87394,3.28091,1.42325,0.00654854,0.00654854,0.00654854
62,985.561,1.90758,3.86195,1.47791,0.56315,0.44105,0.4995,0.31591,1.75065,3.24012,1.36281,0.00644871,0.00644871,0.00644871
